ward,office,district,party,candidate,votes
1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Andy Miscuk,"1,142"
1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,"9,310"
1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,"Write In, if any",67
1,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Vincent Orange,181
1,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Adrian Fenty,"6,706"
1,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Michael A. Brown,53
1,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Linda Cropp,"2,912"
1,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Artee (RT) Milligan,6
1,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Marie Johns,"1,020"
1,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Nestor Djonkam,13
1,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,"Write In, if any",14
1,CHAIRMAN OF THE COUNCIL,,DEM,Vincent C. Gray,"5,230"
1,CHAIRMAN OF THE COUNCIL,,DEM,Kathy Patterson,"4,998"
1,CHAIRMAN OF THE COUNCIL,,DEM,"Write In, if any",21
1,AT-LARGE MEMBER OF THE COUNCIL,,DEM,Phil Mendelson,"7,375"
1,AT-LARGE MEMBER OF THE COUNCIL,,DEM,A. Scott Bolden,"2,474"
1,AT-LARGE MEMBER OF THE COUNCIL,,DEM,"Write In, if any",47
1,WARD ONE MEMBER OF THE COUNCIL,,DEM,Jim Graham,"9,028"
1,WARD ONE MEMBER OF THE COUNCIL,,DEM,Chad Williams,"1,361"
1,WARD ONE MEMBER OF THE COUNCIL,,DEM,"Write In, if any",70
1,UNITED STATES SENATOR,,DEM,Michael D. Brown,"5,801"
1,UNITED STATES SENATOR,,DEM,Philip Pannell,"2,317"
1,UNITED STATES SENATOR,,DEM,"Write In, if any",166
1,UNITED STATES REPRESENTATIVE,,DEM,Mike Panetta,"3,784"
1,UNITED STATES REPRESENTATIVE,,DEM,John J. Forster,"2,126"
1,UNITED STATES REPRESENTATIVE,,DEM,James S. Bubar,"1,325"
1,UNITED STATES REPRESENTATIVE,,DEM,"Write In, if any",234
1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,REP,"Write In, if any",51
1,MAYOR OF THE DISTRICT OF COLUMBIA,,REP,David W. Kranich,130
1,MAYOR OF THE DISTRICT OF COLUMBIA,,REP,"Write In, if any",51
1,CHAIRMAN OF THE COUNCIL,,REP,"Write In, if any",51
1,AT-LARGE MEMBER OF THE COUNCIL,,REP,Marcus Skelton,148
1,AT-LARGE MEMBER OF THE COUNCIL,,REP,"Write In, if any",12
1,WARD ONE MEMBER OF THE COUNCIL,,REP,"Write In, if any",46
1,UNITED STATES SENATOR,,REP,"Write In, if any",23
1,UNITED STATES REPRESENTATIVE,,REP,"Write In, if any",25
1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,SG,"Write In, if any",54
1,MAYOR OF THE DISTRICT OF COLUMBIA,,SG,Chris Otten,75
1,MAYOR OF THE DISTRICT OF COLUMBIA,,SG,"Write In, if any",61
1,CHAIRMAN OF THE COUNCIL,,SG,"Write In, if any",46
1,AT-LARGE MEMBER OF THE COUNCIL,,SG,Ann C. Wilcox,111
1,AT-LARGE MEMBER OF THE COUNCIL,,SG,"Write In, if any",12
1,WARD ONE MEMBER OF THE COUNCIL,,SG,"Write In, if any",50
1,UNITED STATES SENATOR,,SG,Joyce Robinson-Paul,114
1,UNITED STATES SENATOR,,SG,"Write In, if any",6
1,UNITED STATES REPRESENTATIVE,,SG,Keith R. Ware,113
1,UNITED STATES REPRESENTATIVE,,SG,"Write In, if any",4
2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Andy Miscuk,818
2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,"7,403"
2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,"Write In, if any",68
2,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Vincent Orange,77
2,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Adrian Fenty,"4,651"
2,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Michael A. Brown,42
2,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Linda Cropp,"2,829"
2,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Artee (RT) Milligan,6
2,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Marie Johns,"1,010"
2,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Nestor Djonkam,0
2,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,"Write In, if any",13
2,CHAIRMAN OF THE COUNCIL,,DEM,Vincent C. Gray,"3,110"
2,CHAIRMAN OF THE COUNCIL,,DEM,Kathy Patterson,"5,017"
2,CHAIRMAN OF THE COUNCIL,,DEM,"Write In, if any",21
2,AT-LARGE MEMBER OF THE COUNCIL,,DEM,Phil Mendelson,"6,417"
2,AT-LARGE MEMBER OF THE COUNCIL,,DEM,A. Scott Bolden,"1,493"
2,AT-LARGE MEMBER OF THE COUNCIL,,DEM,"Write In, if any",26
2,UNITED STATES SENATOR,,DEM,Michael D. Brown,"3,935"
2,UNITED STATES SENATOR,,DEM,Philip Pannell,"2,053"
2,UNITED STATES SENATOR,,DEM,"Write In, if any",132
2,UNITED STATES REPRESENTATIVE,,DEM,Mike Panetta,"3,094"
2,UNITED STATES REPRESENTATIVE,,DEM,John J. Forster,"1,159"
2,UNITED STATES REPRESENTATIVE,,DEM,James S. Bubar,"1,011"
2,UNITED STATES REPRESENTATIVE,,DEM,"Write In, if any",173
2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,REP,"Write In, if any",71
2,MAYOR OF THE DISTRICT OF COLUMBIA,,REP,David W. Kranich,228
2,MAYOR OF THE DISTRICT OF COLUMBIA,,REP,"Write In, if any",97
2,CHAIRMAN OF THE COUNCIL,,REP,"Write In, if any",75
2,AT-LARGE MEMBER OF THE COUNCIL,,REP,Marcus Skelton,249
2,AT-LARGE MEMBER OF THE COUNCIL,,REP,"Write In, if any",34
2,UNITED STATES SENATOR,,REP,"Write In, if any",40
2,UNITED STATES REPRESENTATIVE,,REP,"Write In, if any",40
2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,SG,"Write In, if any",15
2,MAYOR OF THE DISTRICT OF COLUMBIA,,SG,Chris Otten,25
2,MAYOR OF THE DISTRICT OF COLUMBIA,,SG,"Write In, if any",16
2,CHAIRMAN OF THE COUNCIL,,SG,"Write In, if any",15
2,AT-LARGE MEMBER OF THE COUNCIL,,SG,Ann C. Wilcox,36
2,AT-LARGE MEMBER OF THE COUNCIL,,SG,"Write In, if any",4
2,UNITED STATES SENATOR,,SG,Joyce Robinson-Paul,36
2,UNITED STATES SENATOR,,SG,"Write In, if any",2
2,UNITED STATES REPRESENTATIVE,,SG,Keith R. Ware,37
2,UNITED STATES REPRESENTATIVE,,SG,"Write In, if any",1
3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Andy Miscuk,"1,453"
3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,"12,629"
3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,"Write In, if any",140
3,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Vincent Orange,118
3,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Adrian Fenty,"8,147"
3,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Michael A. Brown,52
3,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Linda Cropp,"4,120"
3,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Artee (RT) Milligan,8
3,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Marie Johns,"2,366"
3,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Nestor Djonkam,5
3,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,"Write In, if any",35
3,CHAIRMAN OF THE COUNCIL,,DEM,Vincent C. Gray,"3,717"
3,CHAIRMAN OF THE COUNCIL,,DEM,Kathy Patterson,"10,726"
3,CHAIRMAN OF THE COUNCIL,,DEM,"Write In, if any",27
3,AT-LARGE MEMBER OF THE COUNCIL,,DEM,Phil Mendelson,"11,795"
3,AT-LARGE MEMBER OF THE COUNCIL,,DEM,A. Scott Bolden,"1,934"
3,AT-LARGE MEMBER OF THE COUNCIL,,DEM,"Write In, if any",51
3,WARD THREE MEMBER OF THE COUNCIL,,DEM,Bill Rice,954
3,WARD THREE MEMBER OF THE COUNCIL,,DEM,Paul Strauss,"2,110"
3,WARD THREE MEMBER OF THE COUNCIL,,DEM,Jonathan Rees,32
3,WARD THREE MEMBER OF THE COUNCIL,,DEM,Sam Brooks,"1,191"
3,WARD THREE MEMBER OF THE COUNCIL,,DEM,Erik S. Gaull,"1,023"
3,WARD THREE MEMBER OF THE COUNCIL,,DEM,Eric Goulet,490
3,WARD THREE MEMBER OF THE COUNCIL,,DEM,Cathy Wiss,"1,158"
3,WARD THREE MEMBER OF THE COUNCIL,,DEM,Mary M. Cheh,"6,462"
3,WARD THREE MEMBER OF THE COUNCIL,,DEM,Robert Gordon,"1,159"
3,WARD THREE MEMBER OF THE COUNCIL,,DEM,"Write In, if any",15
3,UNITED STATES SENATOR,,DEM,Michael D. Brown,"6,529"
3,UNITED STATES SENATOR,,DEM,Philip Pannell,"2,648"
3,UNITED STATES SENATOR,,DEM,"Write In, if any",286
3,UNITED STATES REPRESENTATIVE,,DEM,Mike Panetta,"4,579"
3,UNITED STATES REPRESENTATIVE,,DEM,John J. Forster,"1,446"
3,UNITED STATES REPRESENTATIVE,,DEM,James S. Bubar,"1,872"
3,UNITED STATES REPRESENTATIVE,,DEM,"Write In, if any",336
3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,REP,"Write In, if any",129
3,MAYOR OF THE DISTRICT OF COLUMBIA,,REP,David W. Kranich,509
3,MAYOR OF THE DISTRICT OF COLUMBIA,,REP,"Write In, if any",193
3,CHAIRMAN OF THE COUNCIL,,REP,"Write In, if any",157
3,AT-LARGE MEMBER OF THE COUNCIL,,REP,Marcus Skelton,566
3,AT-LARGE MEMBER OF THE COUNCIL,,REP,"Write In, if any",61
3,WARD THREE MEMBER OF THE COUNCIL,,REP,Theresa Conroy,577
3,WARD THREE MEMBER OF THE COUNCIL,,REP,"Write In, if any",101
3,UNITED STATES SENATOR,,REP,"Write In, if any",62
3,UNITED STATES REPRESENTATIVE,,REP,"Write In, if any",74
3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,SG,"Write In, if any",22
3,MAYOR OF THE DISTRICT OF COLUMBIA,,SG,Chris Otten,21
3,MAYOR OF THE DISTRICT OF COLUMBIA,,SG,"Write In, if any",20
3,CHAIRMAN OF THE COUNCIL,,SG,"Write In, if any",22
3,AT-LARGE MEMBER OF THE COUNCIL,,SG,Ann C. Wilcox,29
3,AT-LARGE MEMBER OF THE COUNCIL,,SG,"Write In, if any",12
3,WARD THREE MEMBER OF THE COUNCIL,,SG,"Write In, if any",28
3,UNITED STATES SENATOR,,SG,Joyce Robinson-Paul,33
3,UNITED STATES SENATOR,,SG,"Write In, if any",2
3,UNITED STATES REPRESENTATIVE,,SG,Keith R. Ware,31
3,UNITED STATES REPRESENTATIVE,,SG,"Write In, if any",4
4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Andy Miscuk,901
4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,"17,909"
4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,"Write In, if any",134
4,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Vincent Orange,321
4,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Adrian Fenty,"13,455"
4,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Michael A. Brown,81
4,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Linda Cropp,"4,670"
4,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Artee (RT) Milligan,27
4,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Marie Johns,959
4,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Nestor Djonkam,12
4,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,"Write In, if any",22
4,CHAIRMAN OF THE COUNCIL,,DEM,Vincent C. Gray,"11,777"
4,CHAIRMAN OF THE COUNCIL,,DEM,Kathy Patterson,"7,117"
4,CHAIRMAN OF THE COUNCIL,,DEM,"Write In, if any",45
4,AT-LARGE MEMBER OF THE COUNCIL,,DEM,Phil Mendelson,"10,441"
4,AT-LARGE MEMBER OF THE COUNCIL,,DEM,A. Scott Bolden,"7,911"
4,AT-LARGE MEMBER OF THE COUNCIL,,DEM,"Write In, if any",88
4,UNITED STATES SENATOR,,DEM,Michael D. Brown,"12,136"
4,UNITED STATES SENATOR,,DEM,Philip Pannell,"3,927"
4,UNITED STATES SENATOR,,DEM,"Write In, if any",225
4,UNITED STATES REPRESENTATIVE,,DEM,Mike Panetta,"6,603"
4,UNITED STATES REPRESENTATIVE,,DEM,John J. Forster,"4,958"
4,UNITED STATES REPRESENTATIVE,,DEM,James S. Bubar,"2,822"
4,UNITED STATES REPRESENTATIVE,,DEM,"Write In, if any",340
4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,REP,"Write In, if any",87
4,MAYOR OF THE DISTRICT OF COLUMBIA,,REP,David W. Kranich,141
4,MAYOR OF THE DISTRICT OF COLUMBIA,,REP,"Write In, if any",145
4,CHAIRMAN OF THE COUNCIL,,REP,"Write In, if any",93
4,AT-LARGE MEMBER OF THE COUNCIL,,REP,Marcus Skelton,183
4,AT-LARGE MEMBER OF THE COUNCIL,,REP,"Write In, if any",51
4,UNITED STATES SENATOR,,REP,"Write In, if any",46
4,UNITED STATES REPRESENTATIVE,,REP,"Write In, if any",43
4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,SG,"Write In, if any",35
4,MAYOR OF THE DISTRICT OF COLUMBIA,,SG,Chris Otten,34
4,MAYOR OF THE DISTRICT OF COLUMBIA,,SG,"Write In, if any",40
4,CHAIRMAN OF THE COUNCIL,,SG,"Write In, if any",34
4,AT-LARGE MEMBER OF THE COUNCIL,,SG,Ann C. Wilcox,54
4,AT-LARGE MEMBER OF THE COUNCIL,,SG,"Write In, if any",12
4,UNITED STATES SENATOR,,SG,Joyce Robinson-Paul,57
4,UNITED STATES SENATOR,,SG,"Write In, if any",6
4,UNITED STATES REPRESENTATIVE,,SG,Keith R. Ware,57
4,UNITED STATES REPRESENTATIVE,,SG,"Write In, if any",5
5,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Andy Miscuk,571
