ward,office,party,candidate,votes
6,UNITED STATES SENATOR,,Write In,378
6,UNITED STATES REPRESENTATIVE,SG,KEITH R. WARE,"1,931"
6,UNITED STATES REPRESENTATIVE,DEM,MIKE PANETTA,"10,665"
6,UNITED STATES REPRESENTATIVE,REP,NELSON RIMENSNYDER,"2,079"
6,UNITED STATES REPRESENTATIVE,,Write In,147
6,PRESIDENT OF THE BOARD OF EDUCATION,,CAROLYN GRAHAM,"4,481"
6,PRESIDENT OF THE BOARD OF EDUCATION,,TIMOTHY JENKINS,"1,734"
6,PRESIDENT OF THE BOARD OF EDUCATION,,ROBERT C. BOBB,"7,066"
6,PRESIDENT OF THE BOARD OF EDUCATION,,SUNDAY ABRAHAM,406
6,PRESIDENT OF THE BOARD OF EDUCATION,,LAURENT ROSS,720
6,PRESIDENT OF THE BOARD OF EDUCATION,,Write In,171
6,DISTRICT III MEMBER OF THE BOARD OF EDU,,ROBERT VINSON BRANNUM,"1,236"
6,DISTRICT III MEMBER OF THE BOARD OF EDU,,LISA RAYMOND,"7,650"
6,DISTRICT III MEMBER OF THE BOARD OF EDU,,MARY BAIRD-CURRIE,967
6,DISTRICT III MEMBER OF THE BOARD OF EDU,,MARC BORBELY,"2,713"
6,DISTRICT III MEMBER OF THE BOARD OF EDU,,STEPHAN BALDI,"1,774"
6,DISTRICT III MEMBER OF THE BOARD OF EDU,,Write In,165
6,ANC FOR SMD 2F03,,CHRISTOPHER DYER,0
6,ANC FOR SMD 2F03,,Write In,0
6,ANC FOR SMD 6A01,,RAPHAEL V. MARSHALL,359
6,ANC FOR SMD 6A01,,Write In,14
6,ANC FOR SMD 6A02,,JOSEPH FENGLER,424
6,ANC FOR SMD 6A02,,Write In,16
6,ANC FOR SMD 6A03,,DAVID HOLMES,432
6,ANC FOR SMD 6A03,,JESSE B. RAUCH,243
6,ANC FOR SMD 6A03,,Write In,9
6,ANC FOR SMD 6A04,,NICK ALBERTI,512
6,ANC FOR SMD 6A04,,Write In,25
6,ANC FOR SMD 6A05,,MARY BEATTY,479
6,ANC FOR SMD 6A05,,Write In,30
6,ANC FOR SMD 6A06,,MICHELLE GRIFKA,149
6,ANC FOR SMD 6A06,,WILLIAM SCHULTHEISS,245
6,ANC FOR SMD 6A06,,H.J. AMONS SR.,112
6,ANC FOR SMD 6A06,,Write In,13
6,ANC FOR SMD 6A07,,LINSTON TERRY,39
6,ANC FOR SMD 6A07,,GLADYS ANN MACK,167
6,ANC FOR SMD 6A07,,CHARLIE LUCAS,62
6,ANC FOR SMD 6A07,,Write In,7
6,ANC FOR SMD 6A08,,STEPHANIE NIXON,245
6,ANC FOR SMD 6A08,,MFON S. IBANGHA ('ISM'),117
6,ANC FOR SMD 6A08,,Write In,12
6,ANC FOR SMD 6B01,,DAVID GARRISON,373
6,ANC FOR SMD 6B01,,Write In,18
6,ANC FOR SMD 6B02,,MARY WRIGHT,481
6,ANC FOR SMD 6B02,,Write In,20
6,ANC FOR SMD 6B03,,JULIE S. OLSON,541
6,ANC FOR SMD 6B03,,Write In,18
6,ANC FOR SMD 6B04,,DANIEL J. OSTERGAARD,406
6,ANC FOR SMD 6B04,,Write In,19
6,ANC FOR SMD 6B05,,KENAN JARBOE,532
6,ANC FOR SMD 6B05,,Write In,20
6,ANC FOR SMD 6B06,,WILBERT 'WILL' HILL,472
6,ANC FOR SMD 6B06,,Write In,14
6,ANC FOR SMD 6B07,,Write In,42
6,ANC FOR SMD 6B08,,NEIL GLICK,540
6,ANC FOR SMD 6B08,,Write In,20
6,ANC FOR SMD 6B09,,ANTONETTE E. RUSSELL,430
6,ANC FOR SMD 6B09,,Write In,20
6,ANC FOR SMD 6B10,,FRANCIS M. CAMPBELL,407
6,ANC FOR SMD 6B10,,Write In,10
6,ANC FOR SMD 6B11,,Write In,0
6,ANC FOR SMD 6C01,,KEITH SILVER,145
6,ANC FOR SMD 6C01,,Write In,3
6,ANC FOR SMD 6C02,,MARK A. DIXON,180
6,ANC FOR SMD 6C02,,Write In,14
6,ANC FOR SMD 6C03,,LENA A. BROWN,131
6,ANC FOR SMD 6C03,,Write In,3
6,ANC FOR SMD 6C04,,Write In,103
6,ANC FOR SMD 6C05,,ALAN KIMBER,217
6,ANC FOR SMD 6C05,,ANTHONY RIVERA,213
6,ANC FOR SMD 6C05,,Write In,7
6,ANC FOR SMD 6C06,,TERRENCE HEUBERT,509
6,ANC FOR SMD 6C06,,Write In,26
6,ANC FOR SMD 6C07,,RYAN VELASCO,400
6,ANC FOR SMD 6C07,,Write In,24
6,ANC FOR SMD 6C08,,KAREN WIRT,296
6,ANC FOR SMD 6C08,,Write In,19
6,ANC FOR SMD 6C09,,CHARLEY DOCTER,306
6,ANC FOR SMD 6C09,,Write In,13
6,ANC FOR SMD 6D01,,MAX S. SKOLNIK,503
6,ANC FOR SMD 6D01,,Write In,17
6,ANC FOR SMD 6D02,,DAVID SOBELSOHN,307
6,ANC FOR SMD 6D02,,Write In,23
6,ANC FOR SMD 6D03,,MARY C. WILLIAMS,145
6,ANC FOR SMD 6D03,,RON McBEE,132
6,ANC FOR SMD 6D03,,Write In,5
6,ANC FOR SMD 6D04,,ANDY LITSKY,451
6,ANC FOR SMD 6D04,,Write In,16
6,ANC FOR SMD 6D05,,ROGER MOFFATT,482
6,ANC FOR SMD 6D05,,Write In,20
6,ANC FOR SMD 6D06,,RHONDA NATALIE HAMILTON,166
6,ANC FOR SMD 6D06,,AHMED ASSALAAM,104
6,ANC FOR SMD 6D06,,Write In,4
6,ANC FOR SMD 6D07,,BOB SIEGEL,61
6,ANC FOR SMD 6D07,,CALVIN T. McDANIEL,26
6,ANC FOR SMD 6D07,,Write In,1
7,DELEGATE TO THE U.S. HOUSE OF REPRESEN,DEM,ELEANOR HOLMES NORTON,"14,077"
7,DELEGATE TO THE U.S. HOUSE OF REPRESEN,,Write In,155
7,MAYOR OF THE DISTRICT OF COLUMBIA,DEM,ADRIAN FENTY,"13,721"
7,MAYOR OF THE DISTRICT OF COLUMBIA,SG,CHRIS OTTEN,337
7,MAYOR OF THE DISTRICT OF COLUMBIA,REP,DAVID W. KRANICH,279
7,MAYOR OF THE DISTRICT OF COLUMBIA,,Write In,139
7,CHAIRMAN OF THE COUNCIL,DEM,VINCENT C. GRAY,"13,813"
7,CHAIRMAN OF THE COUNCIL,,Write In,169
7,AT-LARGE MEMBER OF THE COUNCIL,IND,ANTONIO 'TONY' DOMINGUEZ,960
7,AT-LARGE MEMBER OF THE COUNCIL,DEM,PHIL MENDELSON,"11,284"
7,AT-LARGE MEMBER OF THE COUNCIL,REP,MARCUS SKELTON,585
7,AT-LARGE MEMBER OF THE COUNCIL,SG,ANN C. WILCOX,"1,196"
7,AT-LARGE MEMBER OF THE COUNCIL,IND,DAVID A. CATANIA,"5,330"
7,AT-LARGE MEMBER OF THE COUNCIL,,Write In,104
7,UNITED STATES SENATOR,SG,JOYCE ROBINSON-PAUL,"1,278"
7,UNITED STATES SENATOR,DEM,MICHAEL D. BROWN,"12,369"
7,UNITED STATES SENATOR,,Write In,95
7,UNITED STATES REPRESENTATIVE,SG,KEITH R. WARE,"1,473"
7,UNITED STATES REPRESENTATIVE,DEM,MIKE PANETTA,"11,431"
7,UNITED STATES REPRESENTATIVE,REP,NELSON RIMENSNYDER,393
7,UNITED STATES REPRESENTATIVE,,Write In,67
7,PRESIDENT OF THE BOARD OF EDUCATION,,CAROLYN GRAHAM,"5,885"
7,PRESIDENT OF THE BOARD OF EDUCATION,,TIMOTHY JENKINS,"1,799"
7,PRESIDENT OF THE BOARD OF EDUCATION,,ROBERT C. BOBB,"4,875"
7,PRESIDENT OF THE BOARD OF EDUCATION,,SUNDAY ABRAHAM,445
7,PRESIDENT OF THE BOARD OF EDUCATION,,LAURENT ROSS,433
7,PRESIDENT OF THE BOARD OF EDUCATION,,Write In,103
7,DISTRICT IV MEMBER OF THE BOARD OF EDU,,CARDELL SHELTON,"1,558"
7,DISTRICT IV MEMBER OF THE BOARD OF EDU,,JACQUE D. PATTERSON,"2,638"
7,DISTRICT IV MEMBER OF THE BOARD OF EDU,,JACKIE PINCKNEY HACKETT,"2,955"
7,DISTRICT IV MEMBER OF THE BOARD OF EDU,,WILLIAM LOCKRIDGE,"5,282"
7,DISTRICT IV MEMBER OF THE BOARD OF EDU,,JIMMY JOHNSON,785
7,DISTRICT IV MEMBER OF THE BOARD OF EDU,,Write In,115
7,ANC FOR SMD 7A01,,SHEILA M. CARSON CARR,150
7,ANC FOR SMD 7A01,,Write In,10
7,ANC FOR SMD 7A02,,Write In,104
7,ANC FOR SMD 7A03,,PRIDE HIETT,268
7,ANC FOR SMD 7A03,,Write In,29
7,ANC FOR SMD 7A04,,Write In,43
7,ANC FOR SMD 7A05,,KAREN SETTLES,211
7,ANC FOR SMD 7A05,,Write In,27
7,ANC FOR SMD 7A06,,JAMAL TURNER,367
7,ANC FOR SMD 7A06,,Write In,39
7,ANC FOR SMD 7A07,,VILLAREAL JOHNSON,383
7,ANC FOR SMD 7A07,,Write In,8
7,ANC FOR SMD 7B01,,LINDA (LE) S. ECKLES,279
7,ANC FOR SMD 7B01,,Write In,8
7,ANC FOR SMD 7B02,,HOWARD WAYS,397
7,ANC FOR SMD 7B02,,Write In,14
7,ANC FOR SMD 7B03,,L. YVONNE (L.Y.) MOORE,352
7,ANC FOR SMD 7B03,,Write In,11
7,ANC FOR SMD 7B04,,PHILLIP J. HAMMOND,740
7,ANC FOR SMD 7B04,,Write In,11
7,ANC FOR SMD 7B05,,ROBIN R. H. MARLIN,479
7,ANC FOR SMD 7B05,,Write In,12
7,ANC FOR SMD 7B06,,RAYMOND C. KEITH,598
7,ANC FOR SMD 7B06,,Write In,12
7,ANC FOR SMD 7B07,,S. THETUS BOYD,632
7,ANC FOR SMD 7B07,,Write In,12
7,ANC FOR SMD 7C01,,PATRICIA MALLOY,166
7,ANC FOR SMD 7C01,,HENRY HALL,64
7,ANC FOR SMD 7C01,,Write In,4
7,ANC FOR SMD 7C02,,GERI J. AVERYTT,238
7,ANC FOR SMD 7C02,,Write In,53
7,ANC FOR SMD 7C03,,CATHERINE A. WOODS,334
7,ANC FOR SMD 7C03,,Write In,12
7,ANC FOR SMD 7C04,,ALICE CHANDLER,349
7,ANC FOR SMD 7C04,,Write In,32
7,ANC FOR SMD 7C05,,WADELLE LAURA ANDERSON,79
7,ANC FOR SMD 7C05,,MARY L. GAFFNEY,145
7,ANC FOR SMD 7C05,,Write In,5
7,ANC FOR SMD 7C06,,Write In,54
7,ANC FOR SMD 7C07,,MURIEL CHAMBERS,288
7,ANC FOR SMD 7C07,,Write In,35
7,ANC FOR SMD 7D01,,VERONICA E. RAGLIN,265
7,ANC FOR SMD 7D01,,PATRICK JORDAN,200
7,ANC FOR SMD 7D01,,Write In,2
7,ANC FOR SMD 7D02,,SHARITA SLAYTON,361
7,ANC FOR SMD 7D02,,Write In,19
7,ANC FOR SMD 7D03,,DOROTHY DOUGLAS,179
7,ANC FOR SMD 7D03,,Write In,75
7,ANC FOR SMD 7D04,,WAREES MAJEED,502
7,ANC FOR SMD 7D04,,Write In,13
7,ANC FOR SMD 7D05,,RICK TINGLING-CLEMMONS,374
7,ANC FOR SMD 7D05,,Write In,25
7,ANC FOR SMD 7D06,,Write In,64
7,ANC FOR SMD 7D07,,Write In,16
7,ANC FOR SMD 7E01,,Write In,104
7,ANC FOR SMD 7E02,,Write In,56
7,ANC FOR SMD 7E03,,Write In,42
7,ANC FOR SMD 7E04,,Write In,45
7,ANC FOR SMD 7E05,,Write In,47
7,ANC FOR SMD 7E06,,DAVID INOUE,283
7,ANC FOR SMD 7E06,,Write In,37
7,ANC FOR SMD 7E07,,CHESTER SPEIGHT,147
7,ANC FOR SMD 7E07,,Write In,86
8,DELEGATE TO THE U.S. HOUSE OF REPRESEN,DEM,ELEANOR HOLMES NORTON,"8,801"
8,DELEGATE TO THE U.S. HOUSE OF REPRESEN,,Write In,88
8,MAYOR OF THE DISTRICT OF COLUMBIA,DEM,ADRIAN FENTY,"8,667"
8,MAYOR OF THE DISTRICT OF COLUMBIA,SG,CHRIS OTTEN,176
8,MAYOR OF THE DISTRICT OF COLUMBIA,REP,DAVID W. KRANICH,139
8,MAYOR OF THE DISTRICT OF COLUMBIA,,Write In,81
8,CHAIRMAN OF THE COUNCIL,DEM,VINCENT C. GRAY,"8,530"
8,CHAIRMAN OF THE COUNCIL,,Write In,73
8,AT-LARGE MEMBER OF THE COUNCIL,IND,ANTONIO 'TONY' DOMINGUEZ,647
8,AT-LARGE MEMBER OF THE COUNCIL,DEM,PHIL MENDELSON,"7,011"
8,AT-LARGE MEMBER OF THE COUNCIL,REP,MARCUS SKELTON,260
8,AT-LARGE MEMBER OF THE COUNCIL,SG,ANN C. WILCOX,703
8,AT-LARGE MEMBER OF THE COUNCIL,IND,DAVID A. CATANIA,"2,824"
8,AT-LARGE MEMBER OF THE COUNCIL,,Write In,62
8,UNITED STATES SENATOR,SG,JOYCE ROBINSON-PAUL,672
8,UNITED STATES SENATOR,DEM,MICHAEL D. BROWN,"7,926"
8,UNITED STATES SENATOR,,Write In,59
8,UNITED STATES REPRESENTATIVE,SG,KEITH R. WARE,828
8,UNITED STATES REPRESENTATIVE,DEM,MIKE PANETTA,"7,297"
8,UNITED STATES REPRESENTATIVE,REP,NELSON RIMENSNYDER,221
8,UNITED STATES REPRESENTATIVE,,Write In,48
8,PRESIDENT OF THE BOARD OF EDUCATION,,CAROLYN GRAHAM,"3,570"
8,PRESIDENT OF THE BOARD OF EDUCATION,,TIMOTHY JENKINS,"1,045"
8,PRESIDENT OF THE BOARD OF EDUCATION,,ROBERT C. BOBB,"3,205"
8,PRESIDENT OF THE BOARD OF EDUCATION,,SUNDAY ABRAHAM,324
8,PRESIDENT OF THE BOARD OF EDUCATION,,LAURENT ROSS,244
8,PRESIDENT OF THE BOARD OF EDUCATION,,Write In,70
8,DISTRICT IV MEMBER OF THE BOARD OF EDU,,CARDELL SHELTON,833
8,DISTRICT IV MEMBER OF THE BOARD OF EDU,,JACQUE D. PATTERSON,"1,888"
8,DISTRICT IV MEMBER OF THE BOARD OF EDU,,JACKIE PINCKNEY HACKETT,"1,019"
8,DISTRICT IV MEMBER OF THE BOARD OF EDU,,WILLIAM LOCKRIDGE,"4,439"
8,DISTRICT IV MEMBER OF THE BOARD OF EDU,,JIMMY JOHNSON,335
8,DISTRICT IV MEMBER OF THE BOARD OF EDU,,Write In,46
8,ANC FOR SMD 8A01,,ANTHONY MUHAMMAD,446
8,ANC FOR SMD 8A01,,Write In,29
8,ANC FOR SMD 8A02,,BARBARA J. CLARK,303
8,ANC FOR SMD 8A02,,Write In,5
8,ANC FOR SMD 8A03,,GRETA J. FULLER,167
8,ANC FOR SMD 8A03,,T'CHAKA M. SAPP,145
8,ANC FOR SMD 8A03,,Write In,6
8,ANC FOR SMD 8A04,,LaTESHA 'TE TE' HUDSON,204
8,ANC FOR SMD 8A04,,Write In,10
8,ANC FOR SMD 8A05,,Write In,60
8,ANC FOR SMD 8A06,,MARITA MICHAEL,69
8,ANC FOR SMD 8A06,,JACKIE WARD,167
8,ANC FOR SMD 8A06,,Write In,2
8,ANC FOR SMD 8A07,,LENDIA SUE JOHNSON,150
8,ANC FOR SMD 8A07,,Write In,7
8,ANC FOR SMD 8B01,,A. BRAXTON-JONES,334
8,ANC FOR SMD 8B01,,Write In,7
8,ANC FOR SMD 8B02,,DAVID S. BREWER,246
8,ANC FOR SMD 8B02,,Write In,5
8,ANC FOR SMD 8B03,,Write In,19
8,ANC FOR SMD 8B04,,CHARLES WILSON,305
8,ANC FOR SMD 8B04,,JAMIL 'JB' SHOATZ,96
8,ANC FOR SMD 8B04,,Write In,7
8,ANC FOR SMD 8B05,,TIJWANNA U. PHILLIPS,184
8,ANC FOR SMD 8B05,,Write In,31
8,ANC FOR SMD 8B06,,Write In,38
8,ANC FOR SMD 8B07,,Write In,46
8,ANC FOR SMD 8C01,,DOROTHEA FERRELL,167
8,ANC FOR SMD 8C01,,Write In,6
8,ANC FOR SMD 8C02,,Write In,39
8,ANC FOR SMD 8C03,,MARY J. CUTHBERT,235
8,ANC FOR SMD 8C03,,Write In,9
8,ANC FOR SMD 8C04,,R. CALVIN LOCKRIDGE,286
8,ANC FOR SMD 8C04,,Write In,21
8,ANC FOR SMD 8C05,,Write In,3
8,ANC FOR SMD 8C06,,Write In,0
8,ANC FOR SMD 8C07,,CARDELL SHELTON,255
8,ANC FOR SMD 8C07,,Write In,14
8,ANC FOR SMD 8D01,,GABY L. FRASER,52
8,ANC FOR SMD 8D01,,PATRICIA CARMON,157
8,ANC FOR SMD 8D01,,Write In,6
8,ANC FOR SMD 8D02,,OLIVIA L. HENDERSON,149
8,ANC FOR SMD 8D02,,O. V. JOHNSON,191
8,ANC FOR SMD 8D02,,Write In,11
8,ANC FOR SMD 8D03,,ABSALOM 'AB' JORDAN,131
8,ANC FOR SMD 8D03,,Write In,8
8,ANC FOR SMD 8D04,,Write In,43
8,ANC FOR SMD 8D05,,Write In,18
8,ANC FOR SMD 8D06,,MARIA POWELL,187
8,ANC FOR SMD 8D06,,Write In,10
8,ANC FOR SMD 8D07,,RICHARD T. 'DICK' CLARK,120
8,ANC FOR SMD 8D07,,THERESA H. JONES,164
8,ANC FOR SMD 8D07,,Write In,7
8,ANC FOR SMD 8E01,,Write In,2
8,ANC FOR SMD 8E02,,'S.S' SANDRA SEEGARS,157
8,ANC FOR SMD 8E02,,Write In,2
8,ANC FOR SMD 8E03,,CHRISTOPHER L. HAWTHORNE,117
8,ANC FOR SMD 8E03,,Write In,7
8,ANC FOR SMD 8E04,,MELVIN H. SIMS,369
8,ANC FOR SMD 8E04,,Write In,12
8,ANC FOR SMD 8E05,,"LEON J. SWAIN, JR.",309
8,ANC FOR SMD 8E05,,Write In,10
8,ANC FOR SMD 8E06,,Write In,20
8,ANC FOR SMD 8E07,,ALFRED J. PRICE,91
8,ANC FOR SMD 8E07,,SANDRA (SV) WILLIAMS,138
8,ANC FOR SMD 8E07,,Write In,9
