precinct,office,party,candidate,votes
50,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,14
50,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,119
50,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,2
50,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,2
50,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,0
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,30
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,358
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,5
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,17
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,33
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,794
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,2
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,3
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,0
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,8
51,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,3
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,1
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,14
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,3
51,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,36
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,1
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,1
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,5
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,5
51,WARD FOUR MEMBER OF THE COUNCIL,,Write In,3
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,394
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,59
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,9
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,10
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,152
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,527
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,49
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,25
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,8
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,6
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,168
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,0
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,12
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,5
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,277
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,10
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,1
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,0
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,5
52,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,0
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,0
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,4
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,3
52,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,5
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,0
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,0
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,2
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,0
52,WARD FOUR MEMBER OF THE COUNCIL,,Write In,0
52,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,153
52,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,16
52,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,3
52,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,8
52,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,56
52,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,184
52,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,19
52,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,16
52,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,3
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,11
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,97
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,0
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,1
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,19
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,94
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,1
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,15
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,1
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,0
53,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,1
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,2
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,4
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,3
53,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,21
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,0
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,1
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,8
53,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,8
53,WARD FOUR MEMBER OF THE COUNCIL,,Write In,0
53,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,75
53,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,19
53,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,4
53,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,31
53,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,58
53,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,49
53,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,18
53,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,11
53,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,3
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,15
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,157
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,0
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,2
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,23
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,170
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,5
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,37
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,1
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,2
54,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,0
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,32
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,31
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,4
54,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,14
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,0
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,3
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,1
54,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,31
54,WARD FOUR MEMBER OF THE COUNCIL,,Write In,2
54,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,119
54,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,50
54,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,18
54,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,40
54,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,53
54,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,131
54,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,37
54,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,33
54,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,11
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,10
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,113
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,6
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,1
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,39
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,187
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,6
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,6
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,0
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,1
55,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,1
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,8
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,16
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,4
55,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,17
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,0
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,5
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,1
55,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,37
55,WARD FOUR MEMBER OF THE COUNCIL,,Write In,3
55,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,163
55,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,30
55,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,7
55,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,33
55,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,39
55,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,61
55,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,29
55,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,50
55,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,4
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,13
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,137
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,0
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,3
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,12
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,212
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,5
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,34
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,1
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,3
56,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,3
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,1
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,12
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,2
56,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,34
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,0
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,10
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,1
56,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,120
56,WARD FOUR MEMBER OF THE COUNCIL,,Write In,2
56,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,207
56,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,53
56,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,9
56,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,48
56,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,52
56,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,108
56,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,34
56,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,33
56,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,3
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,12
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,101
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,4
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,3
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,15
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,164
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,4
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,26
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,1
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,1
57,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,0
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,1
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,64
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,4
57,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,117
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,1
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,0
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,8
57,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,35
57,WARD FOUR MEMBER OF THE COUNCIL,,Write In,1
57,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,132
57,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,58
57,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,12
57,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,57
57,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,36
57,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,125
57,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,33
57,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,53
57,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,7
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,9
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,118
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,4
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,5
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,16
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,169
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,5
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,59
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,2
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,4
58,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,1
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,3
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,25
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,2
58,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,24
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,0
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,4
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,0
58,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,52
58,WARD FOUR MEMBER OF THE COUNCIL,,Write In,0
58,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,127
58,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,41
58,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,16
58,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,58
58,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,36
58,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,70
58,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,40
58,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,64
58,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,5
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,17
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,205
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,5
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,7
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,12
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,256
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,30
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,17
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,1
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,4
59,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,2
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,5
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,34
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,8
59,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,22
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,0
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,3
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,3
59,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,56
59,WARD FOUR MEMBER OF THE COUNCIL,,Write In,2
59,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,172
59,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,40
59,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,15
59,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,85
59,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,73
59,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,138
59,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,45
59,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,49
59,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,12
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,15
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,151
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,5
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,2
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,12
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,134
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,2
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,12
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,0
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,4
60,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,3
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,3
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,28
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,10
60,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,11
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,0
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,0
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,2
60,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,21
60,WARD FOUR MEMBER OF THE COUNCIL,,Write In,0
60,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,110
60,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,22
60,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,13
60,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,40
60,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,41
60,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,78
60,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,23
60,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,26
60,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,6
61,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,10
