Precinct 46,,
Total...,"2,786",54.69%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,2553,92.77%
SGN - COBB/LaMARCHE,2,0.07%
LIB - BADNARIK/CAMPAGNA,3,0.11%
SWP - HARRIS/TROWE,2,0.07%
REP - BUSH/CHENEY,172,6.25%
IND - NADER/CAMEJO,18,0.65%
"Write In, if any ",2,0.07%
Total...,"2,752",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,2529,93.88%
REP - MICHAEL ANDREW MONROE,154,5.72%
"Write In, if any ",11,0.41%
Total...,"2,694",100.00%
Precinct 82,,
Registration & Turnout,,"2,918"
Election Day Turnout,1517,51.99%
Absentee Turnout,140,4.80%
Total...,"1,657",56.79%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1503,91.09%
SGN - COBB/LaMARCHE,6,0.36%
LIB - BADNARIK/CAMPAGNA,5,0.30%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,121,7.33%
IND - NADER/CAMEJO,14,0.85%
"Write In, if any ",1,0.06%
Total...,"1,650",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1506,92.79%
REP - MICHAEL ANDREW MONROE,112,6.90%
"Write In, if any ",5,0.31%
Precinct 83,,
Registration & Turnout,,"3,443"
Election Day Turnout,1677,48.71%
Absentee Turnout,149,4.33%
Total...,"1,826",53.04%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1688,93.57%
SGN - COBB/LaMARCHE,6,0.33%
LIB - BADNARIK/CAMPAGNA,6,0.33%
SWP - HARRIS/TROWE,1,0.06%
REP - BUSH/CHENEY,94,5.21%
IND - NADER/CAMEJO,7,0.39%
"Write In, if any ",2,0.11%
Total...,"1,804",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1669,94.40%
REP - MICHAEL ANDREW MONROE,94,5.32%
"Write In, if any ",5,0.28%
Precinct 84,,
Registration & Turnout,,"2,756"
Election Day Turnout,1531,55.55%
Absentee Turnout,197,7.15%
Total...,"1,728",62.70%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1414,82.93%
SGN - COBB/LaMARCHE,8,0.47%
LIB - BADNARIK/CAMPAGNA,7,0.41%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,257,15.07%
IND - NADER/CAMEJO,10,0.59%
"Write In, if any ",9,0.53%
Total...,"1,705",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1393,82.77%
REP - MICHAEL ANDREW MONROE,277,16.46%
"Write In, if any ",13,0.77%
Precinct 85,,
Registration & Turnout,,"3,515"
Election Day Turnout,1947,55.39%
Absentee Turnout,397,11.29%
Total...,"2,344",66.69%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1874,80.29%
SGN - COBB/LaMARCHE,13,0.56%
LIB - BADNARIK/CAMPAGNA,12,0.51%
SWP - HARRIS/TROWE,1,0.04%
REP - BUSH/CHENEY,397,17.01%
IND - NADER/CAMEJO,23,0.99%
"Write In, if any ",14,0.60%
Total...,"2,334",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1854,81.89%
REP - MICHAEL ANDREW MONROE,399,17.62%
"Write In, if any ",11,0.49%
Precinct 86,,
Registration & Turnout,,"2,681"
Election Day Turnout,1393,51.96%
Absentee Turnout,172,6.42%
Total...,"1,565",58.37%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1370,87.99%
SGN - COBB/LaMARCHE,6,0.39%
LIB - BADNARIK/CAMPAGNA,2,0.13%
SWP - HARRIS/TROWE,1,0.06%
REP - BUSH/CHENEY,163,10.47%
IND - NADER/CAMEJO,13,0.83%
"Write In, if any ",2,0.13%
Total...,"1,557",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1357,89.81%
REP - MICHAEL ANDREW MONROE,145,9.60%
"Write In, if any ",9,0.60%
Precinct 87,,
Registration & Turnout,,"3,190"
Election Day Turnout,1564,49.03%
Absentee Turnout,222,6.96%
Total...,"1,786",55.99%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1616,91.14%
SGN - COBB/LaMARCHE,5,0.28%
LIB - BADNARIK/CAMPAGNA,4,0.23%
SWP - HARRIS/TROWE,2,0.11%
REP - BUSH/CHENEY,134,7.56%
IND - NADER/CAMEJO,7,0.39%
"Write In, if any ",5,0.28%
Total...,"1,773",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1623,93.33%
REP - MICHAEL ANDREW MONROE,112,6.44%
"Write In, if any ",4,0.23%
Precinct 88,,
Registration & Turnout,,"2,617"
Election Day Turnout,1532,58.54%
Absentee Turnout,254,9.71%
Total...,"1,786",68.25%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1504,84.92%
SGN - COBB/LaMARCHE,8,0.45%
LIB - BADNARIK/CAMPAGNA,15,0.85%
SWP - HARRIS/TROWE,3,0.17%
REP - BUSH/CHENEY,221,12.48%
IND - NADER/CAMEJO,15,0.85%
"Write In, if any ",5,0.28%
Total...,"1,771",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1519,87.60%
REP - MICHAEL ANDREW MONROE,200,11.53%
"Write In, if any ",15,0.87%
Precinct 89,,
Registration & Turnout,,"3,602"
Election Day Turnout,2067,57.38%
Absentee Turnout,377,10.47%
Total...,"2,444",67.85%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1856,76.25%
SGN - COBB/LaMARCHE,13,0.53%
LIB - BADNARIK/CAMPAGNA,15,0.62%
SWP - HARRIS/TROWE,2,0.08%
REP - BUSH/CHENEY,515,21.16%
IND - NADER/CAMEJO,23,0.94%
"Write In, if any ",10,0.41%
Total...,"2,434",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1873,79.06%
REP - MICHAEL ANDREW MONROE,478,20.18%
"Write In, if any ",18,0.76%
Precinct 90,,
egistration & Turnout,,"1,870"
Election Day Turnout,1148,61.39%
Absentee Turnout,156,8.34%
Total...,"1,304",69.73%
LECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1077,82.97%
SGN - COBB/LaMARCHE,8,0.62%
LIB - BADNARIK/CAMPAGNA,8,0.62%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,190,14.64%
IND - NADER/CAMEJO,10,0.77%
"Write In, if any ",5,0.39%
Total...,"1,298",100.00%
ELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1082,85.06%
REP - MICHAEL ANDREW MONROE,181,14.23%
"Write In, if any ",9,0.71%
Precinct 91,,
Registration & Turnout,,"4,161"
Election Day Turnout,2145,51.55%
Absentee Turnout,209,5.02%
Total...,"2,354",56.57%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,2113,90.73%
SGN - COBB/LaMARCHE,13,0.56%
LIB - BADNARIK/CAMPAGNA,8,0.34%
SWP - HARRIS/TROWE,2,0.09%
REP - BUSH/CHENEY,168,7.21%
IND - NADER/CAMEJO,15,0.64%
"Write In, if any ",10,0.43%
Total...,"2,329",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,2086,91.93%
REP - MICHAEL ANDREW MONROE,169,7.45%
"Write In, if any ",14,0.62%
Precinct 93,,
Registration & Turnout,,"1,489"
Election Day Turnout,829,55.67%
Absentee Turnout,39,2.62%
Total...,868,58.29%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,805,94.15%
SGN - COBB/LaMARCHE,2,0.23%
LIB - BADNARIK/CAMPAGNA,1,0.12%
SWP - HARRIS/TROWE,3,0.35%
REP - BUSH/CHENEY,44,5.15%
IND - NADER/CAMEJO,0,0.00%
"Write In, if any ",0,0.00%
Total...,855,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,818,97.50%
REP - MICHAEL ANDREW MONROE,20,2.38%
"Write In, if any ",1,0.12%
Precinct 92,,
Registration & Turnout,,"1,551"
Election Day Turnout,834,53.77%
Absentee Turnout,65,4.19%
Total...,899,57.96%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,845,95.91%
SGN - COBB/LaMARCHE,1,0.11%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,31,3.52%
IND - NADER/CAMEJO,2,0.23%
"Write In, if any ",2,0.23%
Total...,881,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,853,97.49%
REP - MICHAEL ANDREW MONROE,20,2.29%
"Write In, if any ",2,0.23%
Precinct 94,,
Registration & Turnout,,"1,947"
Election Day Turnout,981,50.39%
Absentee Turnout,75,3.85%
Total...,"1,056",54.24%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,996,95.77%
SGN - COBB/LaMARCHE,2,0.19%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,40,3.85%
IND - NADER/CAMEJO,0,0.00%
"Write In, if any ",2,0.19%
Total...,"1,040",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1000,97.75%
REP - MICHAEL ANDREW MONROE,21,2.05%
"Write In, if any ",2,0.20%
Precinct 95,,
egistration & Turnout,,"1,544"
Election Day Turnout,732,47.41%
Absentee Turnout,51,3.30%
Total...,783,50.71%
LECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,740,95.48%
SGN - COBB/LaMARCHE,3,0.39%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,1,0.13%
REP - BUSH/CHENEY,28,3.61%
IND - NADER/CAMEJO,1,0.13%
"Write In, if any ",2,0.26%
Total...,775,100.00%
ELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,731,96.95%
REP - MICHAEL ANDREW MONROE,21,2.79%
"Write In, if any ",2,0.27%
Precinct 96,,
Registration & Turnout,,"2,138"
Election Day Turnout,993,46.45%
Absentee Turnout,77,3.60%
Total...,"1,070",50.05%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1021,96.32%
SGN - COBB/LaMARCHE,2,0.19%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,32,3.02%
IND - NADER/CAMEJO,4,0.38%
"Write In, if any ",1,0.09%
Total...,"1,060",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1023,97.89%
REP - MICHAEL ANDREW MONROE,18,1.72%
"Write In, if any ",4,0.38%
Precinct 97,,
egistration & Turnout,,"1,278"
Election Day Turnout,590,46.17%
Absentee Turnout,64,5.01%
Total...,654,51.17%
LECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,614,95.94%
SGN - COBB/LaMARCHE,1,0.16%
LIB - BADNARIK/CAMPAGNA,1,0.16%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,20,3.13%
IND - NADER/CAMEJO,3,0.47%
"Write In, if any ",1,0.16%
Total...,640,100.00%
ELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,613,97.92%
REP - MICHAEL ANDREW MONROE,13,2.08%
"Write In, if any ",0,0.00%
Precinct 98,,
Registration & Turnout,,"1,771"
Election Day Turnout,980,55.34%
Absentee Turnout,55,3.11%
Total...,"1,035",58.44%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,971,94.92%
SGN - COBB/LaMARCHE,5,0.49%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,1,0.10%
REP - BUSH/CHENEY,39,3.81%
IND - NADER/CAMEJO,7,0.68%
"Write In, if any ",0,0.00%
Total...,"1,023",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,990,98.31%
REP - MICHAEL ANDREW MONROE,15,1.49%
"Write In, if any ",2,0.20%
Precinct 99,,
Registration & Turnout,,"1,336"
Election Day Turnout,662,49.55%
Absentee Turnout,46,3.44%
Total...,708,52.99%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,666,95.97%
SGN - COBB/LaMARCHE,0,0.00%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,23,3.31%
IND - NADER/CAMEJO,4,0.58%
"Write In, if any ",1,0.14%
Total...,694,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,656,97.19%
REP - MICHAEL ANDREW MONROE,17,2.52%
"Write In, if any ",2,0.30%
Precinct 100,,
egistration & Turnout,,"1,753"
Election Day Turnout,935,53.34%
Absentee Turnout,70,3.99%
Total...,"1,005",57.33%
LECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,957,97.65%
SGN - COBB/LaMARCHE,1,0.10%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,21,2.14%
IND - NADER/CAMEJO,1,0.10%
"Write In, if any ",0,0.00%
Total...,980,100.00%
ELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,929,98.00%
REP - MICHAEL ANDREW MONROE,17,1.79%
"Write In, if any ",2,0.21%
Precinct 102,,
Registration & Turnout,,"2,305"
Election Day Turnout,1264,54.84%
Absentee Turnout,105,4.56%
Total...,"1,369",59.39%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1228,95.12%
SGN - COBB/LaMARCHE,2,0.15%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,55,4.26%
IND - NADER/CAMEJO,5,0.39%
"Write In, if any ",1,0.08%
Total...,"1,291",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1287,97.57%
REP - MICHAEL ANDREW MONROE,29,2.20%
"Write In, if any ",3,0.23%
Precinct 101,,
Registration & Turnout,,"1,724"
Election Day Turnout,928,53.83%
Absentee Turnout,80,4.64%
Total...,"1,008",58.47%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,943,96.22%
SGN - COBB/LaMARCHE,0,0.00%
LIB - BADNARIK/CAMPAGNA,1,0.10%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,31,3.16%
IND - NADER/CAMEJO,4,0.41%
"Write In, if any ",1,0.10%
Total...,980,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,952,97.34%
REP - MICHAEL ANDREW MONROE,25,2.56%
"Write In, if any ",1,0.10%
Precinct 103,,
Registration & Turnout,,"3,446"
Election Day Turnout,1683,48.84%
Absentee Turnout,145,4.21%
Total...,"1,828",53.05%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1746,96.62%
SGN - COBB/LaMARCHE,2,0.11%
LIB - BADNARIK/CAMPAGNA,1,0.06%
SWP - HARRIS/TROWE,3,0.17%
REP - BUSH/CHENEY,43,2.38%
IND - NADER/CAMEJO,8,0.44%
"Write In, if any ",4,0.22%
Total...,"1,807",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1753,98.32%
REP - MICHAEL ANDREW MONROE,27,1.51%
"Write In, if any ",3,0.17%
Precinct 104,,
Registration & Turnout,,"2,505"
Election Day Turnout,1261,50.34%
Absentee Turnout,86,3.43%
Total...,"1,347",53.77%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1277,96.30%
SGN - COBB/LaMARCHE,4,0.30%
LIB - BADNARIK/CAMPAGNA,1,0.08%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,41,3.09%
IND - NADER/CAMEJO,2,0.15%
"Write In, if any ",1,0.08%
Total...,"1,326",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1277,97.41%
REP - MICHAEL ANDREW MONROE,31,2.36%
"Write In, if any ",3,0.23%
Precinct 105,,
Registration & Turnout,,"2,131"
Election Day Turnout,1025,48.10%
Absentee Turnout,136,6.38%
Total...,"1,161",54.48%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1107,96.60%
SGN - COBB/LaMARCHE,0,0.00%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,36,3.14%
IND - NADER/CAMEJO,2,0.17%
"Write In, if any ",1,0.09%
Total...,"1,146",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1101,97.61%
REP - MICHAEL ANDREW MONROE,24,2.13%
"Write In, if any ",3,0.27%
Precinct 107,,
Registration & Turnout,,"1,572"
Election Day Turnout,835,53.12%
Absentee Turnout,80,5.09%
Total...,915,58.21%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,836,97.55%
SGN - COBB/LaMARCHE,0,0.00%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,18,2.10%
IND - NADER/CAMEJO,3,0.35%
"Write In, if any ",0,0.00%
Total...,857,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,853,97.49%
REP - MICHAEL ANDREW MONROE,20,2.29%
"Write In, if any ",2,0.23%
Total...,875,100.00%
Precinct 106,,
Registration & Turnout,,"3,077"
Election Day Turnout,1554,50.50%
Absentee Turnout,147,4.78%
Total...,"1,701",55.28%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1608,95.26%
SGN - COBB/LaMARCHE,2,0.12%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,1,0.06%
REP - BUSH/CHENEY,68,4.03%
IND - NADER/CAMEJO,5,0.30%
"Write In, if any ",4,0.24%
Total...,"1,688",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1617,96.83%
REP - MICHAEL ANDREW MONROE,49,2.93%
"Write In, if any ",4,0.24%
Precinct 108,,
Registration & Turnout,,"1,254"
Election Day Turnout,807,64.35%
Absentee Turnout,41,3.27%
Total...,848,67.62%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,785,93.12%
SGN - COBB/LaMARCHE,0,0.00%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,2,0.24%
REP - BUSH/CHENEY,53,6.29%
IND - NADER/CAMEJO,3,0.36%
"Write In, if any ",0,0.00%
Total...,843,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,809,97.59%
REP - MICHAEL ANDREW MONROE,19,2.29%
"Write In, if any ",1,0.12%
Precinct 109,,
egistration & Turnout,,"1,131"
Election Day Turnout,668,59.06%
Absentee Turnout,62,5.48%
Total...,730,64.54%
LECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,683,94.34%
SGN - COBB/LaMARCHE,1,0.14%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,1,0.14%
REP - BUSH/CHENEY,33,4.56%
IND - NADER/CAMEJO,3,0.41%
"Write In, if any ",3,0.41%
Total...,724,100.00%
ELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,700,96.95%
REP - MICHAEL ANDREW MONROE,21,2.91%
"Write In, if any ",1,0.14%
Precinct 110,,
Registration & Turnout,,"4,279"
Election Day Turnout,2464,57.58%
Absentee Turnout,185,4.32%
Total...,"2,649",61.91%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,2494,95.01%
SGN - COBB/LaMARCHE,4,0.15%
LIB - BADNARIK/CAMPAGNA,1,0.04%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,112,4.27%
IND - NADER/CAMEJO,9,0.34%
"Write In, if any ",5,0.19%
Total...,"2,625",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,2519,96.96%
REP - MICHAEL ANDREW MONROE,74,2.85%
"Write In, if any ",5,0.19%
Precinct 111,,
Registration & Turnout,,"2,172"
Election Day Turnout,1194,54.97%
Absentee Turnout,95,4.37%
Total...,"1,289",59.35%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1223,96.07%
SGN - COBB/LaMARCHE,1,0.08%
LIB - BADNARIK/CAMPAGNA,1,0.08%
SWP - HARRIS/TROWE,1,0.08%
REP - BUSH/CHENEY,40,3.14%
IND - NADER/CAMEJO,5,0.39%
"Write In, if any ",2,0.16%
Total...,"1,273",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1211,97.35%
REP - MICHAEL ANDREW MONROE,30,2.41%
"Write In, if any ",3,0.24%
Total...,"1,244",100.00%
Precinct 112,,
Registration & Turnout,,"2,172"
Election Day Turnout,1236,56.91%
Absentee Turnout,66,3.04%
Total...,"1,302",59.94%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1238,95.82%
SGN - COBB/LaMARCHE,0,0.00%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,49,3.79%
IND - NADER/CAMEJO,4,0.31%
"Write In, if any ",1,0.08%
Total...,"1,292",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1248,97.20%
REP - MICHAEL ANDREW MONROE,35,2.73%
"Write In, if any ",1,0.08%
Precinct 113,,
Registration & Turnout,,"2,314"
Election Day Turnout,1405,60.72%
Absentee Turnout,87,3.76%
Total...,"1,492",64.48%
